event_id,customer_id,timestamp,reason_stated,new_device_model,swap_location_city,distance_from_home_km,hours_since_last_login_change,is_fraud_label
SWP000155,CUST10633,2026-04-01 13:00:00,lost_phone,Omnis Neo5,Pekanbaru,3.9,181.0,0
SWP000044,CUST10854,2026-04-01 15:00:00,device_upgrade,Eos X10,Surabaya,11.4,149.0,0
SWP000024,CUST10514,2026-04-02 10:00:00,lost_phone,Delectus Pro8,Balikpapan,6.3,319.0,0
SWP000033,CUST10380,2026-04-02 16:00:00,lost_phone,Repellat X10,Medan,5.0,255.0,0
SWP000009,CUST10360,2026-04-03 11:00:00,device_upgrade,Necessitatibus Pro8,Makassar,7.7,598.0,0
SWP000080,CUST10352,2026-04-03 13:00:00,lost_phone,Fugit A2,Yogyakarta,13.0,402.0,0
SWP000016,CUST10894,2026-04-03 17:00:00,lost_phone,Doloremque A2,Denpasar,7.9,555.0,0
SWP000057,CUST10843,2026-04-04 20:00:00,damaged_sim,Iure A2,Yogyakarta,0.1,16.0,0
SWP000004,CUST10415,2026-04-04 20:00:00,device_upgrade,Officiis X10,Yogyakarta,3.7,694.0,0
SWP000101,CUST10293,2026-04-05 13:00:00,lost_phone,Natus X10,Yogyakarta,1.4,385.0,0
SWP000043,CUST10238,2026-04-06 10:00:00,damaged_sim,Tempore A2,Denpasar,10.5,74.0,0
SWP000093,CUST10003,2026-04-06 11:00:00,lost_phone,Officiis X10,Palembang,4.5,378.0,0
SWP000076,CUST10809,2026-04-07 11:00:00,device_upgrade,Alias X10,Palembang,2.7,341.0,0
SWP000169,CUST10193,2026-04-07 19:00:00,sim_card_defect,In A2,Palembang,12.3,162.0,0
SWP000064,CUST10975,2026-04-08 19:00:00,lost_phone,Tempore Pro8,Denpasar,14.0,165.0,0
SWP000111,CUST10472,2026-04-09 09:00:00,device_upgrade,Molestiae A2,Pekanbaru,4.4,254.0,0
SWP000130,CUST11062,2026-04-09 15:00:00,damaged_sim,Molestiae Pro8,Balikpapan,6.5,189.0,0
SWP000117,CUST11121,2026-04-09 18:00:00,lost_phone,Iure A2,Makassar,3.5,57.0,0
SWP000096,CUST10985,2026-04-09 18:00:00,damaged_sim,Ipsa Pro8,Surabaya,5.4,283.0,0
SWP000151,CUST10682,2026-04-10 19:00:00,sim_card_defect,Architecto A2,Palembang,11.6,505.0,0
SWP000133,CUST10091,2026-04-11 12:00:00,damaged_sim,Nobis X10,Makassar,10.0,406.0,0
SWP000028,CUST10811,2026-04-12 12:00:00,device_upgrade,Veniam Neo5,Bandung,14.2,532.0,0
SWP000052,CUST10061,2026-04-13 14:00:00,damaged_sim,Cum A2,Surabaya,6.2,582.0,0
SWP000014,CUST10700,2026-04-13 14:00:00,device_upgrade,Esse X10,Medan,4.7,377.0,0
SWP000012,CUST10269,2026-04-13 16:00:00,lost_phone,Quasi X10,Bandung,5.1,160.0,0
SWP000081,CUST10947,2026-04-13 17:00:00,sim_card_defect,Id X10,Balikpapan,1.5,566.0,0
SWP000059,CUST10180,2026-04-14 10:00:00,lost_phone,Eaque A2,Medan,8.6,573.0,0
SWP000077,CUST10587,2026-04-14 19:00:00,sim_card_defect,Laudantium A2,Balikpapan,11.0,119.0,0
SWP000087,CUST10123,2026-04-15 20:00:00,device_upgrade,Ab Pro8,Balikpapan,9.1,193.0,0
SWP000067,CUST10703,2026-04-16 08:00:00,damaged_sim,Eveniet Pro8,Palembang,7.6,435.0,0
SWP000115,CUST10239,2026-04-16 12:00:00,device_upgrade,Aliquid Pro8,Denpasar,9.9,417.0,0
SWP000018,CUST10884,2026-04-16 19:00:00,damaged_sim,Porro A2,Semarang,1.3,125.0,0
SWP000013,CUST10883,2026-04-18 11:00:00,damaged_sim,Pariatur X10,Palembang,12.4,550.0,0
SWP000037,CUST10227,2026-04-18 20:00:00,sim_card_defect,Pariatur Neo5,Balikpapan,8.1,278.0,0
