transaction_id,customer_id,timestamp,transaction_type,amount_idr,payment_method,channel,device_id,location_city,is_fraud_label
TXN0000734,CUST10123,2026-04-01 06:06:00,topup,36827,bank_transfer,Partner_Bank,DEVe1886146,Balikpapan,0
TXN0005831,CUST10937,2026-04-01 06:16:00,topup,24531,e-wallet_gopay,Retail_Outlet,DEVbf144332,Pekanbaru,0
TXN0002995,CUST10498,2026-04-01 06:17:00,topup,18099,retail_counter,USSD,DEV4398018f,Balikpapan,0
TXN0004780,CUST10775,2026-04-01 06:18:00,topup,5000,e-wallet_ovo,USSD,DEV7da2fb48,Surabaya,0
TXN0003242,CUST10535,2026-04-01 06:22:00,topup,49312,retail_counter,USSD,DEVa8dbe9a1,Malang,0
TXN0001801,CUST10307,2026-04-01 06:22:00,topup,5000,retail_counter,Partner_Bank,DEV3d8925a9,Jakarta,0
TXN0005378,CUST10866,2026-04-01 06:35:00,topup,33968,virtual_account,Retail_Outlet,DEV3457c8d7,Medan,0
TXN0002536,CUST10423,2026-04-01 06:40:00,topup,28371,virtual_account,Web_Portal,DEVfd8fb938,Pekanbaru,0
TXN0005597,CUST10900,2026-04-01 06:44:00,topup,33521,e-wallet_gopay,Partner_Bank,DEV4f4cea72,Denpasar,0
TXN0007168,CUST11159,2026-04-01 06:49:00,topup,32616,e-wallet_dana,USSD,DEVf0c935a9,Semarang,0
TXN0007076,CUST11145,2026-04-01 06:57:00,topup,52067,bank_transfer,Web_Portal,DEV78e33d35,Balikpapan,0
TXN0001121,CUST10184,2026-04-01 07:00:00,topup,12563,e-wallet_ovo,Web_Portal,DEV294d43ed,Malang,0
TXN0006885,CUST11112,2026-04-01 07:00:00,topup,13948,e-wallet_gopay,Retail_Outlet,DEV5a878212,Palembang,0
TXN0001564,CUST10269,2026-04-01 07:01:00,topup,36937,e-wallet_gopay,Partner_Bank,DEV25f98046,Bandung,0
TXN0002059,CUST10347,2026-04-01 07:18:00,topup,5477,e-wallet_gopay,Partner_Bank,DEV7e64c44f,Yogyakarta,0
TXN0000974,CUST10159,2026-04-01 07:22:00,topup,40242,credit_card,Partner_Bank,DEVb2a7a475,Malang,0
TXN0002225,CUST10373,2026-04-01 07:24:00,topup,17679,retail_counter,Web_Portal,DEV3ec2e72a,Medan,0
TXN0002614,CUST10436,2026-04-01 07:41:00,topup,5000,e-wallet_gopay,USSD,DEV3f569381,Surabaya,0
TXN0004058,CUST10660,2026-04-01 07:43:00,topup,11234,bank_transfer,MyApp,DEVd79570be,Bandung,0
TXN0005171,CUST10836,2026-04-01 08:00:00,topup,5000,credit_card,Retail_Outlet,DEV7ddee37d,Pekanbaru,0
TXN0001298,CUST10215,2026-04-01 08:12:00,topup,18583,e-wallet_ovo,Partner_Bank,DEV9c2d9672,Bandung,0
TXN0003767,CUST10618,2026-04-01 08:28:00,topup,5000,bank_transfer,USSD,DEV1f09bd6b,Malang,0
TXN0002028,CUST10341,2026-04-01 08:30:00,topup,13801,credit_card,Retail_Outlet,DEV4b7a123e,Palembang,0
TXN0004574,CUST10741,2026-04-01 08:56:00,topup,5000,e-wallet_ovo,Partner_Bank,DEVc7a9ff30,Bandung,0
TXN0000132,CUST10022,2026-04-01 09:57:00,topup,44441,bank_transfer,MyApp,DEV55f3ad50,Makassar,0
TXN0004115,CUST10668,2026-04-01 09:58:00,topup,5000,retail_counter,USSD,DEV862a76f2,Denpasar,0
TXN0005940,CUST10953,2026-04-01 10:01:00,topup,49605,virtual_account,USSD,DEVbe00b0cb,Medan,0
TXN0007258,CUST11173,2026-04-01 10:22:00,topup,44682,e-wallet_gopay,MyApp,DEVbb2c23cb,Balikpapan,0
TXN0005724,CUST10923,2026-04-01 10:46:00,topup,7874,e-wallet_ovo,MyApp,DEVe6647803,Denpasar,0
TXN0002730,CUST10455,2026-04-01 10:50:00,topup,34080,retail_counter,Retail_Outlet,DEVd91b1cb6,Makassar,0
TXN0001593,CUST10275,2026-04-01 10:57:00,topup,5000,bank_transfer,USSD,DEV86c45e42,Palembang,0
TXN0001984,CUST10336,2026-04-01 10:58:00,topup,20935,virtual_account,Retail_Outlet,DEVee403b9f,Pekanbaru,0
TXN0005591,CUST10899,2026-04-01 11:05:00,topup,5000,e-wallet_ovo,Web_Portal,DEV26e21c56,Palembang,0
TXN0007025,CUST11134,2026-04-01 11:06:00,topup,45761,credit_card,Web_Portal,DEV5dcf19aa,Balikpapan,0
TXN0005052,CUST10820,2026-04-01 11:07:00,topup,5166,virtual_account,USSD,DEV7cc27448,Jakarta,0
TXN0000946,CUST10155,2026-04-01 11:12:00,topup,13116,bank_transfer,USSD,DEV43d643ed,Makassar,0
TXN0007363,CUST11189,2026-04-01 11:25:00,topup,44664,credit_card,Retail_Outlet,DEVd094805e,Palembang,0
TXN0006608,CUST11065,2026-04-01 11:27:00,topup,23051,credit_card,MyApp,DEV49a85d9e,Yogyakarta,0
TXN0003186,CUST10525,2026-04-01 11:36:00,topup,32598,credit_card,USSD,DEV1bbcb748,Surabaya,0
TXN0003851,CUST10630,2026-04-01 11:39:00,topup,16771,e-wallet_dana,Retail_Outlet,DEV09d1c11f,Pekanbaru,0
TXN0002251,CUST10379,2026-04-01 11:45:00,topup,39221,retail_counter,Retail_Outlet,DEV7d2d93e8,Semarang,0
TXN0000458,CUST10076,2026-04-01 12:19:00,topup,16519,credit_card,Partner_Bank,DEV8a8a4105,Bandung,0
TXN0002176,CUST10366,2026-04-01 12:35:00,topup,5000,e-wallet_dana,MyApp,DEVaacefa98,Denpasar,0
TXN0001338,CUST10227,2026-04-01 12:55:00,topup,5000,credit_card,MyApp,DEV49ee4969,Balikpapan,0
TXN0000094,CUST10015,2026-04-01 13:04:00,topup,20641,virtual_account,Retail_Outlet,DEV5bd93609,Balikpapan,0
TXN0006287,CUST11009,2026-04-01 13:14:00,topup,22898,e-wallet_gopay,Retail_Outlet,DEV81edceb3,Makassar,0
TXN0004433,CUST10718,2026-04-01 13:33:00,topup,31760,e-wallet_dana,USSD,DEV23e8bb05,Denpasar,0
TXN0003890,CUST10635,2026-04-01 14:23:00,topup,10050,e-wallet_dana,Retail_Outlet,DEV7c4a14cf,Bandung,0
TXN0005507,CUST10887,2026-04-01 14:53:00,topup,34138,e-wallet_dana,USSD,DEVe6876705,Balikpapan,0
TXN0005342,CUST10861,2026-04-01 15:04:00,topup,36087,bank_transfer,Retail_Outlet,DEV5fa9a39e,Semarang,0
TXN0004951,CUST10805,2026-04-01 15:07:00,topup,10114,bank_transfer,Retail_Outlet,DEVeab10bcf,Makassar,0
