scenario,customer_id,l1_band,l2_risk_level,risk_level,action,override_applied,n_fired,n_fired_uncited
L1 rendah (0.05),CUST11146,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10190,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10220,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10228,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10306,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10314,LOW,HIGH,HIGH,Block,True,2,0
L1 rendah (0.05),CUST10321,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10480,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10683,LOW,HIGH,HIGH,Block,True,2,0
L1 rendah (0.05),CUST10239,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10283,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST11043,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10568,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST11006,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST11092,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10817,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10135,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10664,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10636,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10189,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10335,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10838,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST11033,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST11083,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10537,LOW,HIGH,HIGH,Block,True,1,0
L1 rendah (0.05),CUST10933,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10476,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10741,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11026,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10273,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10910,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11197,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11049,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10883,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10102,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10770,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10061,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10068,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10907,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10162,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11074,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10956,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10110,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10512,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11047,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10342,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10222,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10671,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10908,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11190,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10270,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10031,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10133,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10704,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11051,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10903,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10411,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10978,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST10465,LOW,HIGH,HIGH,Escalate,False,1,0
L1 rendah (0.05),CUST11127,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10951,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10308,LOW,NONE,NONE,Auto-Approve,False,0,0
L1 rendah (0.05),CUST10882,LOW,NONE,NONE,Auto-Approve,False,0,0
