case_id,customer_id,fraud_category,risk_level,recommended_action,n_citations,n_limitations
Case-CUST11146-20260821,CUST11146,Topup Fraud,HIGH,Block,3,3
Case-CUST10190-20260821,CUST10190,Topup Fraud,HIGH,Block,3,3
Case-CUST10220-20260821,CUST10220,Topup Fraud,HIGH,Block,3,3
Case-CUST10228-20260821,CUST10228,Topup Fraud,HIGH,Block,3,3
Case-CUST10306-20260821,CUST10306,Topup Fraud,HIGH,Block,3,3
Case-CUST10314-20260821,CUST10314,SIM Swap; Topup Fraud,HIGH,Block,6,4
Case-CUST10321-20260821,CUST10321,Topup Fraud,HIGH,Block,3,3
Case-CUST10480-20260821,CUST10480,Topup Fraud,HIGH,Block,3,3
Case-CUST10683-20260821,CUST10683,Topup Fraud; Promo Abuse,HIGH,Block,6,5
Case-CUST10239-20260821,CUST10239,Topup Fraud,HIGH,Block,3,3
Case-CUST10283-20260821,CUST10283,Topup Fraud,HIGH,Block,3,3
Case-CUST11043-20260821,CUST11043,Topup Fraud,HIGH,Block,3,3
Case-CUST10568-20260821,CUST10568,Topup Fraud,HIGH,Block,3,3
Case-CUST11006-20260821,CUST11006,Topup Fraud,HIGH,Block,3,3
Case-CUST11092-20260821,CUST11092,Topup Fraud,HIGH,Block,3,3
Case-CUST10817-20260821,CUST10817,Topup Fraud,HIGH,Block,3,3
Case-CUST10135-20260821,CUST10135,Topup Fraud,HIGH,Block,3,3
Case-CUST10664-20260821,CUST10664,Topup Fraud,HIGH,Block,3,3
Case-CUST10636-20260821,CUST10636,Topup Fraud,HIGH,Block,3,3
Case-CUST10189-20260821,CUST10189,Topup Fraud,HIGH,Block,3,3
Case-CUST10335-20260821,CUST10335,Topup Fraud,HIGH,Block,3,3
Case-CUST10838-20260821,CUST10838,Topup Fraud,HIGH,Block,3,3
Case-CUST11033-20260821,CUST11033,Topup Fraud,HIGH,Block,3,3
Case-CUST11083-20260821,CUST11083,Topup Fraud,HIGH,Block,3,3
Case-CUST10537-20260821,CUST10537,Topup Fraud,HIGH,Block,3,3
Case-CUST10933-20260821,CUST10933,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10476-20260821,CUST10476,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10741-20260821,CUST10741,Promo Abuse,HIGH,Escalate,3,4
Case-CUST11026-20260821,CUST11026,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10273-20260821,CUST10273,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10910-20260821,CUST10910,Promo Abuse,HIGH,Escalate,3,4
Case-CUST11197-20260821,CUST11197,Promo Abuse,HIGH,Escalate,3,4
Case-CUST11049-20260821,CUST11049,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10883-20260821,CUST10883,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10102-20260821,CUST10102,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10770-20260821,CUST10770,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10061-20260821,CUST10061,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10068-20260821,CUST10068,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10907-20260821,CUST10907,Promo Abuse,HIGH,Escalate,3,4
Case-CUST10000-20260821,CUST10000,None,NONE,Auto-Approve,0,2
Case-CUST10001-20260821,CUST10001,None,NONE,Auto-Approve,0,2
Case-CUST10002-20260821,CUST10002,None,NONE,Auto-Approve,0,2
Case-CUST10003-20260821,CUST10003,SIM Swap,MEDIUM,Escalate,3,3
Case-CUST10004-20260821,CUST10004,None,NONE,Auto-Approve,0,2
Case-CUST10005-20260821,CUST10005,None,NONE,Auto-Approve,0,2
Case-CUST10006-20260821,CUST10006,None,NONE,Auto-Approve,0,2
Case-CUST10007-20260821,CUST10007,None,NONE,Auto-Approve,0,2
Case-CUST10008-20260821,CUST10008,None,NONE,Auto-Approve,0,2
Case-CUST10009-20260821,CUST10009,None,NONE,Auto-Approve,0,2
Case-CUST10010-20260821,CUST10010,None,NONE,Auto-Approve,0,2
Case-CUST10011-20260821,CUST10011,None,NONE,Auto-Approve,0,2
Case-CUST10012-20260821,CUST10012,None,NONE,Auto-Approve,0,2
Case-CUST10013-20260821,CUST10013,None,NONE,Auto-Approve,0,2
Case-CUST10014-20260821,CUST10014,None,NONE,Auto-Approve,0,2
Case-CUST10015-20260821,CUST10015,None,NONE,Auto-Approve,0,2
Case-CUST10016-20260821,CUST10016,None,NONE,Auto-Approve,0,2
Case-CUST10017-20260821,CUST10017,None,NONE,Auto-Approve,0,2
Case-CUST10018-20260821,CUST10018,None,NONE,Auto-Approve,0,2
Case-CUST10019-20260821,CUST10019,None,NONE,Auto-Approve,0,2
