customer_id,confidence_score,l1_band,l2_risk_level,risk_level,action,override_applied,case_path,error
CUST11146,0.9155582066183618,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11146-20260825.json,
CUST10190,0.9090149771443369,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10190-20260825.json,
CUST10220,0.9163216685906564,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10220-20260825.json,
CUST10228,0.9065218666683665,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10228-20260825.json,
CUST10306,0.9118268906128894,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10306-20260825.json,
CUST10314,0.918581161320407,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10314-20260825.json,
CUST10321,0.9195124323374251,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10321-20260825.json,
CUST10480,0.9154807225799747,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10480-20260825.json,
CUST10683,0.9286450430697628,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10683-20260825.json,
CUST10239,0.9039345576686213,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10239-20260825.json,
CUST10283,0.9090724414876238,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10283-20260825.json,
CUST11043,0.9122544687698815,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11043-20260825.json,
CUST10568,0.9221966775077353,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10568-20260825.json,
CUST11006,0.9104449446275422,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11006-20260825.json,
CUST11092,0.9027939726603009,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11092-20260825.json,
CUST10817,0.9071327427516712,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10817-20260825.json,
CUST10135,0.9128799281579034,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10135-20260825.json,
CUST10664,0.9186329115566239,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10664-20260825.json,
CUST10636,0.9181601425417591,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10636-20260825.json,
CUST10189,0.9197934275187074,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10189-20260825.json,
CUST10335,0.9144468879435411,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10335-20260825.json,
CUST10838,0.9059731932248547,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10838-20260825.json,
CUST11033,0.9124741530128724,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11033-20260825.json,
CUST11083,0.8824213118315314,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST11083-20260825.json,
CUST10537,0.9000007204777654,HIGH,HIGH,HIGH,Block,False,e:\My Project\Data Science\Agentic Fraud and Anomaly Detection\outputs\case_files\Case-CUST10537-20260825.json,
